beta1,beta2
-7.438314243067806,1.377622643140397
0.1653075841065054,0.0666701210148411
-0.46448953321793807,0.2006870762792637
0.06517127630269365,0.041788863935493976
0.16039290723337898,-0.030471818935822705
0.20083590031432433,-0.003907256278371146
0.13547793544732897,-0.09493384577816642
-0.023014668687304916,-0.005819052874872307
-3.234744315793078,-0.22015442695054793
-0.4158346839129466,0.021935629477080106
4.5849106062169644,0.3222809873276483
8.081502184819376,1.4218711013361547
5.768120932999335,1.0844825528966924
5.407474122357666,1.002473672113063
11.56477142330203,0.7997012111066648
5.856102576130661,0.3159625312060687
8.72880547445513,0.2613840353198222
6.634480155236119,0.05036537407132636
8.869100538682273,-0.15529031982184283
5.572223871948333,-0.33458435503962636
8.13379260966093,-0.3388876680145515
10.785861308039712,-0.059714781271096376
10.660610018283375,-0.03865771939808489
7.616800178977551,-1.3564125875970645
13.479781973951475,-0.7842361793256106
7.636965778482574,-0.5678019183059196
15.282244317865533,-0.030892804165072608
15.088994726543005,0.83083417036322
5.988177138641286,1.3498269875537816
20.65673192788128,1.7976725791748005
4.900359286545479,1.0150870969139087
11.33617970505118,1.5669704946429082
5.749223033041402,0.20413247465821602
4.321541190540841,0.46179100029387815
10.262478224836457,-0.5044578327067386
-6.5789817783838505,-0.7175658752872138
12.820047130396144,-0.6493712744205746
1.0402580738404468,0.09204787964082926
