Model Component,Variable,Parm,Posterior Mean,95% LCrI,95% UCrI
Binary,SVI,gamma1,0.33,0.1,0.57
,% of adult smokers,gamma2,-0.45,-0.75,-0.13
,CVD Hospitalizations,gamma3,0.17,-0.07,0.4
,Population density,gamma4,0.1,-0.1,0.34
,PM2.5,gamma5,0.03,-0.12,0.17
,Temperature,gamma6,-3.21,-3.95,-2.39
,,,NA,NA,NA
Mean,SVI,beta1,0.08,0,0.15
,% of adult smokers,beta2,0.26,0.08,0.41
,No. of physicians per 100K,beta3,0.04,-0.01,0.09
,% fair or poor health,beta4,-0.08,-0.23,0.08
,CVD Hospitalizations,beta5,-0.02,-0.07,0.04
,Population density,beta6,-0.07,-0.14,-0.02
,PM2.5,beta7,-0,-0.05,0.04
,Temperature,beta8,-0.14,-0.2,-0.1
,Precipitation,beta9,0.02,-0.01,0.05
,Dispersion,r,1.64,1.45,1.87
,,,NA,NA,NA
Random Effects,var_phi1i,Sigma11,1.75,0.78,3.08
,cov_phi1i_phi2i,Sigma12,0.33,0.14,0.55
,var_phi2i,Sigma22,0.21,0.15,0.3
